location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
478316,NS 67452 59056,NA,NA,NA,NA,478316,33.33333333,41.66666667,23.33333333,1.666666667,20.66666667,3.166666667,100,NA,NA,sampling_point,2019-01-09,NS 67452 59056
478316,NO 73110 99412,NA,NA,NA,NA,478316,33.33333333,41.66666667,23.33333333,1.666666667,20.66666667,3.166666667,100,NA,NA,sampling_point,2024-10-05,NO 73110 99412
478344,NO 61638 53891,NA,NA,NA,NA,478344,0,20,0,80,6,1,100,NA,NA,sampling_point,2019-01-09,NO 61638 53891
478344,NS 67452 59056,NA,NA,NA,NA,478344,0,20,0,80,6,1,100,NA,NA,sampling_point,2024-10-05,NS 67452 59056
478431,NO 61547 53884,NA,NA,NA,NA,478431,20,70,8,2,15,3,100,NA,NA,sampling_point,2019-01-09,NO 61547 53884
478431,NO 61638 53891,NA,NA,NA,NA,478431,20,70,8,2,15,3,100,NA,NA,sampling_point,2024-10-05,NO 61638 53891
478432,NO 45215 52465,NA,NA,NA,NA,478432,50,40,8,2,17,2,100,NA,NA,sampling_point,2019-01-09,NO 45215 52465
478432,NO 61547 53884,NA,NA,NA,NA,478432,50,40,8,2,17,2,100,NA,NA,sampling_point,2024-10-05,NO 61547 53884
478433,NO 45772 61325,NA,NA,NA,NA,478433,15,20,63,2,28,2,100,NA,NA,sampling_point,2019-01-09,NO 45772 61325
478433,NO 45215 52465,NA,NA,NA,NA,478433,15,20,63,2,28,2,100,NA,NA,sampling_point,2024-10-05,NO 45215 52465
478434,NO 64193 56491,NA,NA,NA,NA,478434,69.16666667,27.83333333,3,0,25.66666667,8.533333333,100,NA,NA,sampling_point,2019-01-09,NO 64193 56491
478434,NO 45772 61325,NA,NA,NA,NA,478434,69.16666667,27.83333333,3,0,25.66666667,8.533333333,100,NA,NA,sampling_point,2024-10-05,NO 45772 61325
478436,NS 56472 78523,NA,NA,NA,NA,478436,0,0,60,40,35,3,100,NA,NA,sampling_point,2019-01-09,NS 56472 78523
478436,NO 64193 56491,NA,NA,NA,NA,478436,0,0,60,40,35,3,100,NA,NA,sampling_point,2024-10-05,NO 64193 56491
478547,NH 48142 14322,200,3,4,13,232776,39,57.66666667,3.333333333,0,20,11.86666667,100,7.80859375,64,sampling_point,2019-01-09,NH 48142 14322
478557,NS 56467 78442,NA,NA,NA,NA,478557,0,0,0,0,25,1,0,NA,NA,sampling_point,2019-01-09,NS 56467 78442
478557,NS 56472 78523,NA,NA,NA,NA,478557,0,0,0,0,25,1,0,NA,NA,sampling_point,2024-10-05,NS 56472 78523
478561,NS 56313 78235,NA,NA,NA,NA,478561,5,5,0,90,30,0.2,100,NA,NA,sampling_point,2019-01-09,NS 56313 78235
478561,NS 56467 78442,NA,NA,NA,NA,478561,5,5,0,90,30,0.2,100,NA,NA,sampling_point,2024-10-05,NS 56467 78442
478562,NS 71952 77877,NA,NA,NA,NA,478562,0,0,0,100,20,1,100,NA,NA,sampling_point,2019-01-09,NS 71952 77877
478562,NS 56313 78235,NA,NA,NA,NA,478562,0,0,0,100,20,1,100,NA,NA,sampling_point,2024-10-05,NS 56313 78235
478694,NS 36290 26079,NA,NA,NA,NA,478694,60,30,5,5,15,2.5,100,NA,NA,sampling_point,2019-01-09,NS 36290 26079
478694,NS 71952 77877,NA,NA,NA,NA,478694,60,30,5,5,15,2.5,100,NA,NA,sampling_point,2024-10-05,NS 71952 77877
478694,NS 71952 77877,55,27.07,1,7.68,121235,60,30,5,5,15,2.5,100,NA,NA,rict_layer,2024-03-10,NS 71952 77877
478790,NY 05335 85561,NA,NA,NA,NA,478790,10,0,0,90,5.5,2,100,134.5,2,sampling_point,2019-01-09,NY 05335 85561
478790,NS 36290 26079,NA,NA,NA,NA,478790,10,0,0,90,5.5,2,100,134.5,2,sampling_point,2024-10-05,NS 36290 26079
478870,NY 05375 85482,NA,NA,NA,NA,478870,38,60,1,1,26,21,100,NA,NA,sampling_point,2019-01-09,NY 05375 85482
478870,NY 05335 85561,NA,NA,NA,NA,478870,38,60,1,1,26,21,100,NA,NA,sampling_point,2024-10-05,NY 05335 85561
478871,NY 05419 85384,NA,NA,NA,NA,478871,38,60,1,1,22,9,100,NA,NA,sampling_point,2019-01-09,NY 05419 85384
478871,NY 05375 85482,NA,NA,NA,NA,478871,38,60,1,1,22,9,100,NA,NA,sampling_point,2024-10-05,NY 05375 85482
478872,NY 05431 85356,NA,NA,NA,NA,478872,40,50,8,2,26,9,100,NA,NA,sampling_point,2019-01-09,NY 05431 85356
478872,NY 05419 85384,NA,NA,NA,NA,478872,40,50,8,2,26,9,100,NA,NA,sampling_point,2024-10-05,NY 05419 85384
478873,NY 03465 85778,NA,NA,NA,NA,478873,35,62,1,2,21,6,100,NA,NA,sampling_point,2019-01-09,NY 03465 85778
478873,NY 05431 85356,NA,NA,NA,NA,478873,35,62,1,2,21,6,100,NA,NA,sampling_point,2024-10-05,NY 05431 85356
478875,NY 03503 85752,NA,NA,NA,NA,478875,70,27,2,1,23,20,100,NA,NA,sampling_point,2019-01-09,NY 03503 85752
478875,NY 03465 85778,NA,NA,NA,NA,478875,70,27,2,1,23,20,100,NA,NA,sampling_point,2024-10-05,NY 03465 85778
